;Why or why not?
79;I would prefer be honest and up-front rather than find out the employer is not supportive down the road
80;I wouldn't know whether it would affect my changes of getting the job.
81;I live in a country where they only care about what physicians tell them in a pre-contract exam.
82;Depends if it affected the job
83;If it relates to workspace design (eg, special ergonomic needs) or necessary schedule (eg, can't work for 8 hours straight)
84;
85;If the health issue would not impact my performance, then I may not bring it up. 
86;
87;
88;
89;Because it can be seen as a weakness and they may chose another applicant over me because of it.
90;Only would do it if I would believe it would have impact on my productivity.
91;bias
92;Transparency
93;Starting a job hiding something like this can be a really bad way to get the trust of the employees. 
94;
95;
96;I would be suspicious that it would negatively effect their opinion of me as a potential employee / Bring down the superwoman factor a little.
97;I've never been in a situation like this so it's hard to say. My answer might be different depending on the exact health issue.
98;
99;Unless it impacted my job I wouldn't 
100;"US worker protections are lacking; proving a protected class as reason for non-hire is difficult"
101;"I would expect an unconscious bias against someone whose employment involves extra risk of medical leave, accommodations, or expense. Even an employer with the best intentions might unintentionally favor the ""easier"" hire."
102;If it's relevant to the position 
103;I prefer to use the interview as an opportunity to learn more about a potential employer and to showcase my skills.
104;It _could_ way into being hired, instead of skills
105;Only if it was very relevent would I share such information.  Otherwise no reason to give black marks to myself.
106;if it were serious, I'd worry that it would prevent my being hired
107;If it was a protected disability thing, or if it just came up randomly.  Or if it's not a chronic condition.
108;I imagine that would prompt the interviewers to quickly disregard my resume.
109;If it's relevant, because it would require changes to work hours or something like that, I would bring it up. If not, then it's not relevant in an interview.
110;I am to the point in my career where if I can't be honest with my employer, then I do not want to work for them.
111;?
112;I'd generally be able to cope/work despite physical health issues, but would doubt the interviewer would consider/believe that.  I wouldn't trust them to avoid bias based on health concerns.
114;Depends if it's going to have an impact on that particular job
115;Due to increased healthcare cost potential
116;Depends on the vibe from the interview.
117;
118;depends on the nature of the issue. i think it might bias them to look for reasons not to hire me or expect me to be a sub-par contributer
119;
120;Because I wouldn't want to work for a company who wouldn't support someone with a condition.
121;Depends on the type of job, if it would affect my work, I would bring it up.
122;
123;People take physical illnesses or injuries seriously. You don't have to look a certain way to be believed to have a physical health issue. People can see it so they believe it. They often can't blame you for it or think you're just making it up 
124;Unless it has a direct impact on my job, it's not their business, and I value my privacy.
125;Chronic physical health issues often affect hiring decisions, even though employers won't say so.  I'm diabetic, and have observed this to be true.
126;I would if I got the impression it wouldn't count against me/the interviewer seemed empathetic to that scenario, because that condition might likely mean time away from work to address the issue and I would want to know the policies in place for employees with physical health issues, particularly for chronic illness. 
127;Because it would impact the relationship (there might be adjustments needed to the work space for example) and I believe honesty up front to be the best approach.
128;It has nothing to do with my job skills. My interviewer does not need to know about it. 
129;Depends on what it is. 
130;Afraid of adding something negative to the balance sheet
131;I would bring up a physical health issue only if negotiating from a position of strength, such as having multiple offers or being currently employed in a stable position.
132;It's not a big deal
133;It is not their concern unless it affects my ability to perform my job
134;Would only bring it up if it affected my ability to do the job.
135;Unless it would impact my work, it's nobody's business.  
136;Too personal
137;I figure it should be part of the conversation. They need all the facts before making a call, in the same ways I need to know if they can adjust for me.
138;Because despite all of the laws governing non discrimination, employers will go with what's easiest and come up with a different reason as to why they're not hiring you. Employees are ultimately resources to be leveraged, and companies don't want to get less for their money. 
139;If it were relevant to job performance or required some sort of accommodation on their part
140;Jeopardizes getting the job
141;I don't want health issues to affect how I am represented in an interview.
142;Risk of not getting an offer
143;may not get hired
144;I'm deaf. It'll be obvious soon enough. 
145;Because it's none of their business. 
146;Depends greatly on the job involved.  I can adapt quickly to jobs involving heavy lifting, for example, but would not admit that it would probably wind me to start with.  Most physical health issues severe enough to discuss are visible, and if they are not (say I have cancer and am going to be going on chemo) I would not discuss because of huge possibility of not being hired due to potential for medical leave / lots of absence.  
147;Any health issue is potentially a liability, so I would hesitate to mention it unless it had direct bearing on the job responsibilities.
148;I'm already very private about personal issues
149;
150;
151;It depends on the reputation of the employer
152;Not anyone's business but mine
153;I would bring it up if it was obvious or relevant.
154;If I needed accommodations as part of my work, or if it were very obvious and referring to it might diffuse tension, I would bring it up. Otherwise, I would not.
155;
156;
157;
158;Not their business
159;Risk of losing consideration for a position 
160;My physical health issues are obvious from my appearance.
161;They might think I'm a hypochondriac
162;
163;They may not hire me thinking I might take time off from work. 
164;Generally not applicable to my job
165;
166;Only if it would affect my future work.
167;
168;If it impacts the work, they should know about it.
169;
170;I don't know, I've never had a physical health issue that would need bringing up, so I don't know how I'd react in that situation
171;If it was a long term issue that would require special accommodations on their part.
172;Could impact their willingness to hire, even subconsciously.
173;Would risk not getting the job.
174;
175;I wouldn't want it to affect my ability to get the position
176;
177;I would be afraid it would negatively impact my chances.
178;I would want to make sure expectations were set clearly at the start
179;
180;
181;Depends if it's relevant
182;
183;I have RSI and don't want them to think I'm not worth investing in.
184;I had brain surgery in 1997. Bringing that up is pretty much a no job. On top of that hell they want to look at your DNA first these days. Sad days.
185;They're usually temporary and you know when it'll be gone
186;Concern it could overshadow legit issues
187;Depending on how strong my position as interviewee is, I might prefer to wait until the offer stage rather than bring it up at interview
188;I don't really know. It would depend on my impressions at the time.
189;
190;
191;To avoid not being hired
192;
193;
194;If it would make me seem less suitable for a job
195;I'd want to be honest and up-front with a potential employer.
196;
197;I would feel OK discussing physical health, mainly because it can be diagnosed and corroborated by a doctor.
198;
199;It depends on the nature of the issue and how it may impact my ability to work.
200;I wouldn't bring it up unless absolutely necessary for my day-to-day job function, out of fear of discrimination or not being hired.
201;It's best to be up front about stuff if possible - if the employer is aware, then it is easier to judge their attitude towards it (positive or negative) before accepting a position.
202;
203;Wouldn't want to risk not getting the job - i'd wait until I was hired
204;
205;if it wasn't relevant
206;
207;Wouldn't want that to be counted against me when compared to other candidates.
208;
209;"It might not particularly be seen as a ""good"" thing to bring it up."
210;
211;It would depend on the issue, and whether or not I think it would impact the work I do
212;Depends whether it would affect my ability to carry out the job.
213;
214;If it may affect my productivity, my employer should know about it
215;
216;
217;Yes, Is important if can affect work.
218;Because it might be important for the employer in case it affects my productivity.
219;cos i don't have any physical health problems
220;
221;
222;Only if it would require immediate accommodation.
223;Less chances of getting the job, I think
224;In the interview I'm still trying to present the best image of myself and that may damage it (rightly or wrongly)
225;Unless it's something obvious like I'm disabled
226;I would think they don't care about it
227;It would depend on how relevant it would be. 
228;Because it's common
229;unless it directly affects my ability to do the job, it is irrelevant
230;That should not be a deciding factor when they choose to hire me or not. Why does my physical issue need to be pointed out if its not going to effect my job. 
231;I prefer to keep nothing hidden
232;
233;If it was something that affected my work, yes.
234;Cultural bias and potential elimination from consideration.
235;Honesty, always the best policy, even if it means I don't get the job.
236;because every one should work in an healthy and safe place ...
237;
238;Completely depends upon what the issue would be.
239;It might affect my performance and workplace
240;
241;
242;It affects my work 
243;
244;
245;I'd be concerned that it would negatively affect my employment opportunity.
246;If it looked like you'd take a lot of time off or die soon
247;I wouldn't want to knowingly generate bias against me in an interview.
248;I want to get hired
249;no stigma, high probability of sympathy/understanding
250;I don't require accommodations and I'm afraid of discrimination. 
251;
252;I prefer to keep my health information private as long as it is not actively affecting my job performance at the time of the interview.
253;seems wrong
254;It might make them less likely to hire me, e.g. because of cost of health insurance.
255;Only got ask
256;I worry it would affect my chances of employment.
257;Naturally, I'd be afraid that they wouldn't hire me.
258;
259;I wouldn't feel comfortable discussing my personal health and would not want to appear weak.
260;My interview process involves checking my baggage at the door. If it's someplace I wouldn't feel comfortable bringing that type of thing up after being hired, I don't want to be interviewing there anyway. Trust.
261;
262;despite the fact that the Canadian human rights act forbids discrimination based on mental or physical health, many public sector companies will try to cross the line by asking questions that touch on health as a way to minimize insurance premium costs
263;I've always been coached that it's not appropriate to discuss anything like that, as it may adversely impact the interview.
264;
265;Not risk mot getting the job in case they thought I would be off work more often
266;If I felt it would decrease the odds of getting the position, I'd probably omit the information.
267;Never know how they coudl take it? 
268;I think they would see it as temporary, maybe even view you as hardy/resilient
269;
270;
271;
272;Really depends on the vibe that I got from the interview.
273;Even though not legal, it could be a factor in hiring. Also, none of their business.
274;depends  if  it  would affect my  work
275;Physical health issues are more socially/culturally acceptable and would not reflect as poorly on the interviewee as a mental health issue.
276;Physical issues are relatively well understood by anyone I've ever mentioned them to.
277;
278;Depends on whether it would put me in the position of needing to ask for accommodations.
279;I'd only bring it up in an interview if the issue required accommodation.
280;
281;Personal health issues don't belong in the interview process, as it inherently makes the interview particularly hostile to the interviewee and their organization (because HR law, especially as relating to anti-discrimination, is a thing).
282;I wouldn't want to bring up anything that may trigger unconscious bias and therefore hinder my chances of receiving a job
283;
284;Not relevant
285;It's my problem, not theirs.
286;there's no stigma to saying you have an rsi, a heart condition, etc.
287;If it was something actually relevant to the job I was interviewing for, of course I would bring it up.
288;Fear of discrimination
289;
290;depends if I feel comfortable enough
291;It wouldn't affect day-to-day activities
292;Only if it would affect performance.
293;Not of their business
294;That is none of their business and it would affect their decision regardless of policy
295;
296;If it does not affect my job then it is not their concern
297;Dependent upon impact on work duties.
298;physical health is not always a reason to not being able to work
299;Wouldn't feel comfortable telling them.
300;they might think i'd be a high-maintenance or expensive hire
301;It may affect the hiring managers decision if I bring this up. Although, an interview is about ensuring the employer is a good fit for me too. So I would have to consider my options at the time.
302;
303;Because I'd die if I had to physically work beyond my capacity.
304;It depends on how permanent the issue is likely to be.
305;It wouldn't affect my ability to perform the work, so would be unlikely to affect the outcome of an interview
306;It could affect my application.
307;I don't think i need it
308;Unspoken prejudices
309;My physical health directly impacts my productivity and is a factor I consider in any value proposition with an employer.
310;unless it's visible or actively and noticably influencing my behaviour, I think it's none of their business
311;depends on the role and the company as to their response to that
312;
313;If the health issue could reasonably impact my ability to perform my duties, providing that information would be relevant. However, if I was confident the impact would be minimal, there would be no reason to offer unnecessary information. 
314;
315;I have physical health issues which I am not able to hide and which I require accommodation for in many situations or cannot function.  I discuss it when that is absolutely necessary.
316;I would discuss it to make sure I was open and up front about myself and who I am/how I work
317;Could be seen as a weakness, or a reason why you couldn't be as productive.
318;Seems like it could only hurt you
319;It's illegal for them to ask in the U.S. and unless it's relevant to job performance there's no reason for me to bring it up.
320;I have fibromyalgia which still isn't accepted fully in the medical community, so I don't believe it would be handled well by employers (or anybody, really).
321;If it was going to effect my position, I would bring it up.
322;
323;It would depend on the relevance said issue had to the job - for example, I wouldn't feel the need to bring up a knee problem for a desk job interview. If I had a chronic physical health issue that would require me to take breaks or time off, I would be upfront about it. 
324;
325;It would depend on the nature of the job and the physical health issue - if there would be a direct impact on my ability to work because of the issue.  If not relevant, I would not disclose.
326;I would be afraid that it would result in me being passed up for the position.
327;I would bring up a physical health issue because, compared with mental health issues, i feel that there is no prejudices
328;If I have a physical health issue and it has the potential to interfere with my work life, I must be upfront about it.
329;i would not want to give the interviewer any reason at all to disqualify me
330;I guess it really depends on whether it is necessary for the job. If it will not impact day-to-day work, it would not be necessary
331;There is no stigma against physical health issue like there is with mental health.
332;Being viewed as problematic. Too personal. Maybe allude to it vaguely, at best.
333;
334;May not be relevant. 
335;I would as likely it would effect my work
336;I think physical health issues are easy to empathize with and understand, so I don't think mentioning it would affect me negatively
337;If it doesn't affect my job, I don't feel that a potential employer has a need to know.
338;Depends on the employer and how specifically it is referenced.  Likely would ask about their short-term disability and qualifying events
339;It depends on the relevance for the job and my functioning there-in
341;It could mean time off/etc so the employer needs to be informed.
342;
343;Seems irrelevant and embarrassing
344;I would not want to work for an employer that reacted negatively to a physical health issue. I think it's a good test to ensure that they're the kind of employer I'd want to work for. 
345;I would worry that a potential employer might see a physical illness as a reason I might not be able to work, or to be available for work as much as this profession demands.
346;i would do it if it makes me unable to perform certain tasks (cannot be exposed to certain liquids, heavy things lifting, etc)
347;Unsure
348;I don't think I'd bring up any type of health issues in an interview unless they are not offering health care, which in that case - I did bring up a few issues of physical health in one interview.
349;
350;Many organizations look for any reason to reject a candidate during the interview process.
351;"It would depend on the specific issue.
If it impacts my work I would mention it. Otherwise I would not."
352;Fear of being disqualified for the job
353;If the issue affected my work, I would want the employer to know about it at the time of hiring, to avoid conflict later.
354;If it does not affect my work, it is none of their business.
355;I feel like bringing up a physical health issue would be a mark against me getting the job. If they had the choice between myself and another candidate that didn't mention a health issue, I feel they would take the other candidate.
356;I would bring it up if it were relevant to my performance.
357;I have some vision issues that require me to use basic assistive technology (zooming screen, mainly) and depending on what we would be doing in an interview, my needing to see something bigger or closer may come up.
358;Depends on the nature of the physical health issue, whether it was chronic and the impact on the work. In almost all cases, I would not discuss it because just increases the chance of discrimination.
359;Judgement
360;Will only bring it up if it was relevant
361;"I have this idea that ""signs of weakness"" will always be a disadvantage in an interview"
362;Unless applying for something that required specific physical skills, I don't believe physical health should be a factor in an interview.
363;I barely know these people, probably, and I'd rather not give them any reasons to turn me down. I don't see an upside.
364;
365;
366;circumstantial
367;Better to have it out with them now rather than wait. Have spoken in the industry about burnout.
368;It is generally not relevant to employment.
369;
370;I don't even talk about health issues to acquaintances -- only to close family and friends
371;Honesty
372;It would be something they would need to know, so better to know if it's the type of place that does or doesn't understand that.
373;Depends what it is. If it's something relevant that affects my physical functioning (e.g. if I was blinded or had no legs or something)
374;Fear. 
375;I don't have any chronic physical illnesses, but my partner does.  If I had the same illness as them, I would feel that the interviewer would likely discount my ability to work effectively or feel that the necessary accommodations would be too significant.
376;Health issues do not affect my productivity as a worker while I am in the «working» state (i.e. not absent due to some illness), so why should I discuss them in an interview?
377;Still too much stigma attached to some physical health issues, e.g. female anatomy-related
378;If it was something major I would, but minor no.
379;If they had a medical screening process that would be the appropriate time 
380;It is what it is. If that causes a problem, I should not work there.
381;Depends on the issue and whether it would impact my ability to do the job in question or not. 
382;If it didn't affect my job, I would wait until after I was hired to discuss it with my manager
383;I don't think its an issue that needs to be discussed in an interview.
384;Maybe a second or third interview, but not the first. It's not their business, unless we're both serious about working together.
385;Some parts of tech require you to lift things, for example.
386;
387;It may affect job attendance.
388;Only after I received a job offer, to ensure protection for my physical disability. 
389;Most people understand physical health issues whereas with mental health you can never be sure 
390;discrimination 
391;I feel like physical health issues is perceived to be less in control by the person compared to mental health.
392;
393;None of their business.
394;I've never had one that would be relevant.
395;depends if it would jeopardize my chances of getting the position
396;negative connotation 
397;I assume the candidate is at least in his second stage of the interview. Being open about our limitations is a important topic during this stage of the interview. And since you've made it trought the first, there should be no wrong answers that could cause a negative result in your interview.
398;If it impacted the job I would most likely bring it up towards the end of the interview - more as a I would need some flexibility around this. But I'd want to be a contender for the job before I did. 
399;It is none of their business. As long as I can do the job given parameters we both agree upon, I see no need for them to know. 
400;
401;i would not bring it to up until I received an offer, unless it impacted my interview performance.
402;
403;Physical is more accepted.
404;Fear of being discriminated
405;I don't know
406;If it's relevant or would affect my duties.
407;can't imagine this making my desired outcome more likely
408;Not sure I'd be discriminated against by just not getting an offer. It'd be very hard to prove.
409;Because as long as I can do my job, it's really not any of their business.
410;I'm hesitant to bring up anything that might make me seem less employable but has no actual effect on my productivity.
411;Don't currently have one, so not sure I'd have anything to bring up. Haven't had to think about it.
412;
413;It's none of her business if it doesn't impact my ability to work
414;Because I value honesty very much and know that setting expectations in very beneficial for everybody
415;Depends on the view of the employer about mental health.
416;If it affected my work or was something obvious I would talk about it.
417;It depends how well I connected with the interviewer
418;
419;It may affect my availability to perform my job
420;
421;Not relevant
422;I wouldn't want to work for an employer who couldn't handle the fact that I (or any coworkers) might have a health issue.
423;No reason to risk the job
424;You can be assured that it would not be a taken as a negative. 
425;Unknown ramifications. 
426;
427;
428;if relevant to job
429;I want to be considered the same as every other applicant, and not be categorized by my limitations.
430;If the potential employer explained their position on support for employees with physical health issues at the start of an interview, that would encourage me to speak of it.
431;
432;I wouldn't know if I could trust them at that stage
433;unless it would directly inhibit my ability to perform the presumed role or job description i find my physical medical health to be my responsibility and business altogether next to my diet, sexual preferences and similar information. 
434;Would not wish to prejudice the interview process
435;
436;First I would like them to focus on my abilities and skills. Then when I would pass the initial interview rounds I would bring it up.
437;Would very much depend on the issue and what impact I thought it would have on the role I was interviewing for.
438;Is it relevant to the job, is it something I can work around.
439;
440;personal info should not be part of interview process
441;BECAUSE
442;
443;If I thought it irrelevant to the job.
444;It would probably impact my application negatively (even if they did not admit so)
445;
446;Fear of discrimination as a racial minority with a physical health issue
447;
448;Worries about discrimination
449;
451;"It would depend on the job I'm applying for.  Would it be something like ""I just need a special chair"" or would it be more along the lines of ""I need you to cater to my random days off.""  Either one _should_ be the same, however we all know that each response would not be treated as such."
452;Get the job first.
453;If it affected my availability.
454;I kind of feel uncomfortable saying I can't do things, although I guess I would have to in certain situations
455;
456;Why risk implicit or overt bias?
457;There is established non-discrimination policy for disabilities or physical ability
458;I don't know that it's good, but I typically take management of physical health issues as a personal matter, and wouldn't involve a potential employer.
459;It depends on whether or not he physical health issue would prevent me from doing my job. If not, I would not bring it up.
460;if it affected the ability for someone to preform their job.
461;See it as potentially influencing my hirability. 
462;I don't currently have any I'm concerned about.
463;
464;It depends on the physical health issue. E.g. Bad Knees vs Bad Allergies
465;
466;Depends on the feel of the interview
467;
468;Regardless of what disability legislation says, health issues are a surefire way to get turned down for work.
469;
470;I believe I would  just for the sake of transparency
471;
472;It depends on if it was relevant or affected my job in any way. Also, if I felt like I could trust the person in my interview.
473;
474;If it affected my ability to perform at the job I would bring it up.
475;Seems irrelevant.
476;
477;I don't see the need. If I'm at the interview, it's because I am fine working there as I am.
478;
479;A sleep-related disorder prevents me from being able to arrive at early hours, which a large part of employers require.
480;
481;
482;a
483;It seems like it would be hard to hide a physical issue.
484;It would depend on whether I thought it might impact the job.
485;Fear of being passed over for a healthier candidate.
486;I'm ashamed / shy to admit something like this to a stranger. Unless I have a bond of a certain amount of intimacy with a person, I would never talk about myself in personal terms.
487;because it is important to do the job
488;The employers reaction would tell a lot of the type of company I'd be joining. 
489;If it was relevant to the job, then yes.
490;I would bring it up only if it were already obvious and/or would not be likely to affect my performance.
491;I would rather not bring something up unless I was sure it would impact my job, because I am always concerned that people will find it easier to turn me down as a candidate.
492;Not sure. Want to put my best foot forward.
493;It has no legal bearing on the hiring process
494;Not sure if they're allowed to ask. If it came up I practice openness and honestly by principle.
495;
496;If the physical health issue required some special equipment, like a standing desk or the like, I would bring it up. Otherwise, I wouldn't deem it necessary for them to know.
497;I'd be worried that it would reflect negatively against me and possibly hinder me as a potential candidate
498;It's a market, it would devalue the offering stupid
499;Would sour interview experience
500;If it isn't directly job affecting, I don't think it should matter.
501;Only if it was an obvious thing. If an employer cant tell i wont risk it
502;If I had mobility problems that required an accessible office or special accomodations, I'd want to make sure those were available
503;
504;
505;May not obtain job. NOTE: Was terminated for mental health snap - schizoaffective disorder type one, depressive. All I did was cry for 5 minutes...then lapsed in to confusion. Terminated next week.
506;
507;If I had physical health issues, I would want to make sure there are provisions for my health needs or concerns before accepting a position with a new company.
508;bias
509;"I believe that would bias the interview against me for ""culture"" reasons. "
510;It might depend on how I think they would perceive that issue in relation to my ability to do the job.
512;
513;I feel that is too early in the process. Guess it would depend on how serious I was about working for and how serious a company was about hiring me. 
514;
515;
516;"I believe in playing open cards; If someone has a problem with it, then better get aware of it early on; In IT there are plenty of alternatives"
517;Because you cannot lie about it, since it's gonna show up at some point since physical disorder often comes with not being able to do certain things the same way as people who don't suffer disorders.
518;If I believe it would be relevant to the job I'm interviewing for (if I would need some kind of accommodation for my issue).  Otherwise, I think it would reduce my chances of being hired.
519;It would depend on the situation. For example, if there were office cats, it would be a problem as I'm allergic to cats. Otherwise, I probably wouldn't say anything unless there was a specific discussion about desks & ergonomics. I wouldn't want them to worry that they were going to have to spend a fortune on special desks or chairs, etc.
520;Because they wouldn't hire me probably
521;Physical health issues in our line of work rarely effect our ability to perform.
522;Problems are problems. No one wants to hear about problems. They want solutions. Possible physical issues could lead to other issues that could impact performance.
523;"Because the “survival of the fittest"" mentality. No one wants to ihre someone with the probably highscore of sick days"
524;It depends if it really matters. I suffer from heartburn which is crippling if I eat particular foods or drinks (mainly caffeine, poor me eh). But it's just my life and I'm used to it and it has no bearing on my work. If it did have an impact on my work in some way, or that employer could be more accommodating to help reduce the impact it would have then I'd of course discuss it. Not during interviewing though... who does that!
525;If it's going to affect my role, I should bring it up.
526;Feel it would go against mr
527;I am fortunate enough to not have a condition that requires accommodation. 
528;
529;I dont have a problem discussing my personal limitations with anyone.
530;
531;Embarrasment
532;If it was a personal matter, I'd try not to let it effect my work
533;
534;Depends on whether I thought it would impact job performance, and whether I would expect allowances to be made for my health issue.
535;It's more likely that I wouldn't think it would be relevant.
536;My potential employment should not be contingent on anything the ADA covers.
537;It's not pertinent to the position.
538;"Not their business unless it would impact how I do my job in a way that they're allowed to care about
"
539;
540;I want to make sure both parties can make an informed decision - leaving something important unsaid would foster frustrated expectations.
541;Negative Feedback, Termination, Ridicule,
542;I would only bring it up if the issue would affect my job. Or only if it might affect my job within 3-6 months.
543;To be up front about any factors that may affect my work performance. 
544;If it was likely to affect my chances of being employed, no. My issue only occasionally impacts my ability to work
545;It is important for everyone to be informed of the situation.
547;
548;
549;I would never bring up health issues, because it may be perceived as a negative for reliability of employee.
550;
551;If it was important to my health or well being I could like them to know
552;I assume that it would weigh against me getting the job
553;
554;Maybe if it related to my work
555;Biases exist 
556;If it impacted or could impact my ability to do my job, they should have the right to know about it.
557;I feel this would negatively reflect on your potential.
558;No, I don't want them to feel like I would be a burden.
559;I would not bring up a physical health issue in an interview because I believe it would hinder my possibility of getting the job.
560;It should never be a criteria for hiring me.
561;"Physical health issues that impact my job are necessary for them to know for them to make an informed decision. This would probably change to ""no"" if I NEEDED the job as opposed to just wanted the job."
562;Only if it would directly affect my work, otherwise it's not their business.
564;It may affect time I need to take off or my ability to do certain tasks.
565;xxx
566;They may not employ me
567;If I wouldn't mention it, it could cause trouble afterward.
568;
569;I would if it required adaptations on the part of the employer for me to be able to take the job.
570;I'm afraid it would impact my ability to get a job.
571;
572;It depends on what the issue was. If the issue required a significant amount of time off I would worry about how it would impact my chances of getting the job.
573;Diabetes is a prominent part of my life - it impacts my ability to work in multiple ways, as well as when I get in and when I may have to leave. If my blood sugar is low in the mornings, I have no say in the matter - I need to treat it before I can drive into an office.
574;i've had previous employers that responded negatively to that
575;
576;"depends if the physical issue was considered a ""common"" issue; for example an amputation.  But perhaps not if it was a ""heart disorder"" ... or something not visible to others."
577;It really depends.
578;I'm a private person in general, I may not bring it up.
579;It would depend on the nature and severity/impairment
580;Because I would want the job.
581;Potential negative consequences down the road.
582;If I was not really interested in the job.  I would wait until I knew that I was really interested before getting that personal.
583;
584;I would be uncomfortable working for anyone with whom I couldn't discuss physical health. 
585;
586;It depends on how relevant it would be to my work performance.
587;
588;If it would require accommodations at work.
589;maybe they will go for recruiting a healthy person 
590;I am stressed clinically diagnosed. So i should discuss that.
591;I have MS and there are some stigmas with MS. Some people with MS have cognitive issues.
592;
593;Because there's nothing to be ashamed of.
594;Afraid it would affect outcome
595;Depends on the physical issue and how impacting it is to my ability to work.
596;
597;it may prevent me from getting the job
598;
599;
600;If it doesn't affect my performance while doing the job, then it kind of depends on the situation
601;
602;If and when it affects me in the workplace my employer can adjust my workplace.
603;Important to bring them up so that all parties are aware.  Hiding a Physical Health issue would never end well for either party.  All conversation should be open and all cards on the table.
604;no need to do so
605;"It would depend on the position (on-site vs remote) and even then on the ""vibe"" with the interviewer, if I felt a low risk of bringing up the topic."
606;It would only hurt your chances of being hired. And if you don't get hired you'll wonder for the rest of your life if that affected it
607;Physical health issues are not typically seen as roadblocks to productivity and communication.
608;
609;Any perceived issue could affect hirability, anti-discrimination policy or no. 
610;The word 'cancer' terrifies everyone.
611;
612;
613;
614;
615;I would discuss issue because health is what make your work process effective 
616;If it impacted my ability to do my job or even if I was going to need to take time to visit a doctor or time to recover then I would need to coordinate with them.
617;I don't want to screw my chances at the job.
618;
619;Because I think it would hurt your chances of being hired. Although it depends on the physical issue.
620;We're interviewing for skills, not personal issues.
621;
622;"If the physical health issue has no impact on my ability to do my job, from my perspective, I see no reason to discuss it. For instance, if I have a hemorrhoid, I can still do my job and my company does not need to know.

If I have no arms because of a mechanical accident, then I may have some difficulty with a job that requires the use of hands, and I would probably tell my employer during my interview that I have no hands."
623;Worried about negative perceptions 
624;Physical health is socially considered more legitimate
625;
626;
