;Why or why not?.1
230;They absolutely do not need to know this before i start. I feel like this is a huge HR issue and the less they know the better honestly. I am very dyslexic  and  have a learning disability but it does not effect how i preform at my job
231;I prefer to keep nothing hidden
232;
233;Stigma.
234;Feel it would prevent hire. Only if asked point blank.
235;Same as any issue, I'm looking for employers that enjoy me exactly as I am. Not some glossed up version of myself
236;depending of the place and the mental health issue ...
237;
238;Has the potential to look like you are whining.
239;It might affect my performance and relations with the colleagues
240;
241;If the employer made it clear they expected crunch time I would want to discuss stress related issues. 
242;I'm already a minority in tech, definitely wouldn't get the job if also sick 
243;
244;
245;I'd be concerned that it would negatively affect my employment opportunity.
246;Because they wouldn't employ you
247;I wouldn't want to knowingly generate bias against me in an interview.
248;I want to get hired
249;uncertainty about their reaction
250;Fear of discrimination.
251;Even with more education on mental health, there is still a stigma and negative outcome in the work place if one is known to be 'on medication'.
252;I need to establish trust with my employer before I would be willing to discuss my mental health, especially if it was not actively affecting my work performance at the time of the interview.
253;No one wants to hire a crazy person
254;It might make them doubt my reliability or performance, and so be less likely to hire me.
255;Only if got ask
256;I worry it would affect my chances of employment
257;Naturally, I'd be afraid that they wouldn't hire me.
258;
259;I would not want to appear weak or unstable.
260;"Again, check my baggage at the door. My ADHD and general anxiety are well-managed enough that most of the time, they'll never have to worry about it anyway. At the same time, I'm proactive about bringing it up at my current gig, because I don't want it to be a ""new thing"" if I'm suddenly in a bad way."
261;
262;Same as above
263;See above
264;
265;Stigma
266;The stigma of mental illness is something that I am not sure I feel most employers would be willing to look past in an interview. I'm already a woman, which some view as a burden (will she need to leave for childcare? is she as capable of this job as her male counterparts?) and adding the additional 'burden' of having a mental health issue seems like it'd stack the cards against me.
267;Never know what they will do with that information
268;Because the employer would use it to measure how competent/high maintenance I was
269;
270;
271;
272;I'd have to feel it out in the interview and see if I felt comfortable discussing it. It's a tough call. I wish I could just feel comfortable doing it all the time. 
273;See previous.
274;suspect it would  stop  me  getting  job
275;
276;I feel as if there is a stigma against mental health issues in general. I am loathe to even discuss it with my wife.
277;
278;I wouldn't know if I needed accommodations. Also shame. Probably more shame.
279;I'd only bring it up if I felt comfortable & also would need accommodations. But probably a lot less likely to bring it up than a physical health issue.
280;My problem to work with, not theirs
281;Personal health issues don't belong in the interview process, as it inherently makes the interview particularly hostile to the interviewee and their organization (because HR law, especially as relating to anti-discrimination, is a thing).
282;Mental health issues are still a taboo subject.
283;
284;Fear of discrimination 
285;It's my problem, not theirs.
286;because it gets equated with mental competency and makes you look bad
287;If I thought that it was relevant to the job I was interviewing for, I would bring it up.
288;Fear of discrimination
289;
290;depends if I feel comfortable enough
291;
292;
293;It's not of their business
294;It would affect their decision regardless of policy 
295;
296;I believe there would be a conscious/unconscious bias against me.
297;I often do not disclose.
298;There is mental health issues in my family
299;Would feel it may have an effect on the chance of employment
300;it would depend on the severity of the condition, and to what extent it would affect my capability to work
301;It may affect the hiring managers decision if I bring this up. Although, an interview is about ensuring the employer is a good fit for me too. So I would have to consider my options at the time.
302;
303;Mental health is not seen as an issue by most employers.
304;Mental health is either not taken as seriously as physical health or is viewed negatively.
305;It _may_ affect the outcome of an interview, so I'd be reluctant to bring it up
306;I need to know they understand. I don't want to work for someone who doesn't understand.
307;I don't think I need it.
308;Would be too much of a negative
309;My physical health problems are less stigmatized. 
310;none of their business unless it actively limits my activities, at which point I probably wouldn't be interviewing anyway
311;very much depends on what the line of questioning leading to that was and the nature of their line of enquiry
312;
313;There is still too much stigma attached to mental health and the possibility for discrimination is too high. I might disclose it *after* being hired and passing any probationary period. 
314;
315;I have enough counting against me in an interview without adding to the number of biases weighted against me.
316;I depends on what degree it affects my work. If it affects how I work I would want to be up front about that.
317;Could definitely be seen as a weakness and a reason why you wouldn't be as productive as someone without the issue.
318;Would only hurt you
319;It's not relevant to my ability to perform the job responsibilities.
320;Don't have one personally, but the same logic applies. Mental health isn't respected or understood well by anyone and I don't see how it would be to my advantage to disclose.
321;If it was going to effect my position, I would bring it up.
322;
323;Again, it would depend on the relevance. If a mental health issue would in any way effect my life at a the potential job, I would much rather be upfront about my needs and requirements from my employers than try to hide it. If I thought it was irrelevant to the job, I probably wouldn't bring it up during an interview.
324;
325;Only if I had a firm belief that there would be no negative consequences.
326;I would be afraid that it would result in me not being chosen for the position.
327;Like i said before, i think that there are so many prejudices and ignorance about mental health
328;I am from India. IMO mental illness is not looked upon in an accepting way here. If I have an mental health issue, I would be skeptical to talk about it as it might affect my prospects.
329;i would not want to give ANY reason for disqualification
330;I am scared it may scare off potential employers to be honest. I guess it really depends on the person that is sitting across the table and how comfortable I'd feel.
331;The stigma associated with mental health colors the judgement of potential candidates.  
332;For all the reasons you already know.
333;
334;Concern about it's impact on hiring
335;For the same reason.  If it effects my work, they need to know.
336;I don't think mental health issues are well understood and the negative stigma might cause my interview to end negatively
337;I would say it depends on what it is. Generally speaking, I would be hesitant to bring up any mental health issue in an interview situation, but there are circumstances which could change my mind.
338;Same as above
339;Same, depends on the relevance to my function
341;It could mean time off/etc and the employer should be infomred
342;
343;Seems irrelevant and embarrassing
344;I would not want to work for an employer that reacted negatively to a mental health issue. I think it's a good test to ensure that they're the kind of employer I'd want to work for. 
345;I think a potential employer would definitely see a mental health issue as a reason not to hire me.
346;employers may see it as a cost
347;Unsure
348;It depends on whether or not it would affect my job.
349;Could compromise my ability to get hired or look like a compelling candidate
350;Many organizations look for any reason to reject a candidate during the interview process.
351;It should not have an impact on my interview process.
352;Too great a stigma. Would likely be rejected for another candidate. 
353;If the issue affected my work, I would want the employer to know about it at the time of hiring, to avoid conflict later.
354;If it does not affect my work, it is none of their business.
355;I feel like bringing up a mental health issue would be a mark against me getting the job. If they had the choice between myself and another candidate that didn't mention a health issue, I feel they would take the other candidate.
356;
357;I worry that it would be viewed as a very severe weakness.
358;Discrimination.
359;Judgement
360;Only when it was relevant
361;same as above
362;A perception/assumption of automatic and immediate disqualification. 
363;I barely know these people, probably, and I'd rather not give them any reasons to turn me down. I don't see an upside.
364;
365;
366;circumstantial 
367;It's important to know ahead of time.
368;As for physical issues, I do not feel it is relevant to employment.
369;
370;Same reason as physical health -- it's very personal.
371;Honesty
372;"It depends on the employer. See, it's difficult to answer survey questions that require generalizing all previous employers. I've had productive conversations with some; even so, at one place a mental health issue conversation resulted in immediate retribution."
373;Again, if it affected my direct functioning I probably would. I'm quite reserved anyway, and unless it could affect my work directly, it's not my employer's business.
374;Social stigma 
375;Uncertain about reception.  Very difficult to determine an interviewer's experience and perception of mental illness.
376;Health issues (either physical or mental) do not affect my productivity as a worker while I am in the «working» state (i.e. not absent due to some illness), so why should I discuss them in an interview?
377;Rather not bring up something that would affect my chances of being hired. (Yes, it's illegal to discriminate that way, but that doesn't mean that doesn't happen, yeah?)
378;I have several severe mental health issues that would greatly affect my work.
379;Medical screening process would be more appropriate (even though some of them only ask for diagnosed mental illnesses) 
380;It is what it is. If that causes a problem, I should not work there.
381;I don't think it would help my chances of getting the job, and it's possible that it could hurt them.
382;If it didn't affect my job, I would discuss it with my manager after I was hired
383;I don't think that's a topic that needs to be discussed in an interview.
384;Same reason as physical health - it's not their business straight up, so maybe in a later interview
385;Quick way to not get the job.
386;
387;May affect job performance.
388;Mental illness is not a protected class from discrimination and disclosing it publicly could affect my immigration status
389;They may not be accepting
390;discrimination 
391;
392;
393;None of their business.
394;"If it's relevant to the conversation, I'm happy to mention that I'm an anxious depressive and to expand as needed. I think it's important to raise the topic openly (as appropriate); it reduces stigma, and gives me an indication of the company's attitude towards mental health."
395;same as above
396;negative connotation
397;As the solicitant, its not my responsibitliy to do so. I dont know the company's terms and culture about this and would feel uncomfortable discussing it.
398;"I think there's a stigma around mental health and also an issue of trust. I don't want to share with someone who will violate that trust (a physical disability is more transparent than a mental one), and also deemed ""more dangerous"" to the workplace. "
399;Same as with a physical health issue, I take on jobs I can do, mutually agreeing on parameters (they need it done soon, I need enough flexibility to deal with mental and/or physical issues).
400;
401;Might mean no offer.
402;
403;Depends on the issue — depression has a stigma.
404;Fear of being rejected or discriminated
405;Privacy
406;If it's relevant or would affect my duties. For example, if I was in a situation where I would need my team to be aware of my condition to help me deal with an acute episode then I would make sure that my team is properly equipped to do so.
407;pretty sure this would not work out in my favor
408;Because while discriminating for mental health is not legal, one never gets reasons for a job offer not being extended, so it can only hinder.
409;Same as above.
410;Same as above -- hesitant to bring up anything that doesn't affect my work but might make me seem less employable.
411;General sense of stigma.
412;No need to disclose so early as it may not be an issue. Don't want to give them a reason not to pick me!
413;Not the right sotuation to talk about a mental issue
414;
415;Depends on the amount of open view on it
416;Because I would be scared they would think that it affects my work and I'm not worth hiring.
417;It's hard to talk about in that high pressure situation
418;
419;I wouldn't because for fear of not being hired because of it, but at the same time I feel like I should It may affect my availability to perform my job
420;
421;Not relevant
422;I wouldn't want to work for an employer who couldn't handle the fact that I (or any coworkers) might have a health issue.
423;No reason to risk making them concerned about it
424;Same, although would have greater concern about employer viewing mental health as worse that a physical health issue as well as overall negative views of mental health issues. 
425;Unknown ramifications. 
426;
427;
428;if relevant to job
429;I want to be considered the same as every other applicant, and not be categorized by my limitations.
430;Again, if the employer stated their position on mental health issues and support for potential employees then I would feel comfortable talking about it.
431;Afraid of niet being understood, that makes it hard to talk about it. Especially during an interview.
432;I wouldn't know if I could trust them at that stage
433;I personally don't believe that generalized employers have the capacity to grapple with the possibility or potential for any mental health issues when they are worried about keeping their companies afloat.
434;Would not wish to prejudice the interview process
435;
436;The same as previous one.
437;I don't think enough people are aware of mental health issues, so it is more likely to just have a negative impact
438;Is it relevant to the job, and is it something I can work around.
439;
440;Interview is not the place/time for personal info
441;BECAUSE
442;Since it doesn't affect my job performance it's none of their business.
443;If it seemed relevant.
444;Same reason, basically. And, it seems like it might be too early in a relationship to do so.  Why should they have a window into my personal life, just because they're my employers?
445;
446;Fear of discrimination as a racial minority with a mental health issue
447;
448;Worried about discrimination
449;
451;For the same reason as above, but I don't know at all whether the employer views mental health the same as physical health.
452;Keeping it secret is essential to getting & holding jobs at some companies.
453;Afraid of the stigma
454;I'm lucky that I'm mostly functional even when not doing well so I wouldn't disclose until I was at the company and had a better idea of how people react to it. 
455;
456;Why risk implicit or overt bias?
457;Because I fear repercussions including not being hired
458;Because of the nature of our work, mental health issues are far more impactful. If I thought it needed to be accounted for, I would involve the potential employer to ensure they can work with me.
459;I know there's widespread stigma toward mental health. I would avoid discussion this in an interview (unless I didn't want the job)
460;taboo 
461;Stigma could influence their desire to hire me. 
462;That's sensitive, and I'd need to know them better first.
463;
464;Would be afraid that it would negatively affect my potential as a hiring candidate.
465;
466;I feel that it would only hurt my chances at employment, or have no bearing at all.
467;
468;Most people tend to assume that being mentally ill means you're going to be crap writing code.
469;I'd rather ask about health benefits and look at it from there.  No need to bring it up in an interview unless it directly affects the job, or is specifically brought up by the interviewer
470;It would depend on my general feelings of the employer/my issue
471;
472;See above answer - related to trust.
473;This would depend on the severity of an effect the issue could have on work performance.
474;I would bring it up if it affected day to day work. Otherwise probably would not because the stigma around it.
475;Also irrelevant to getting  a job.
476;
477;I don't see the need. If I'm at the interview, it's because I am fine working there as I am.
478;
479;I wouldn't feel comfortable discussing mental health issues with anybody but really close friends and/or other sufferers in the first place. But also, it's not like it wouldn't hurt my chances of landing a position.
480;I'm uncertain how the ADA applies to mental health, or whether it even applies at all
481;
482;a
483;I would if I felt it would be a serious impediment to both parties as it pertains to my ability to do the job. Otherwise it could feel a bit like trapping the employer.
484;Depend on the job
485;Fear that it would disqualify me in their mind.
486;Same as above.
487;because it hurts me
488;Reaction would tell a lot of the type of employer they are. 
489;If was relevant to the job, then yes. But I do think that discussing mental health in a job interview is more risky (because of the negative perception it could create) than discussing physical health issues.
490;I feel that a mental health issue would not be something I'd want them to take into account as part of the hiring process, unless it were a serious enough issue that I wouldn't want to work for an employer who was not willing to make accommodations for my issue.
491;They are still stigmatized and without obvious mentions of acceptance by the employer beforehand I would worry that there would be hidden (or not so hidden) prejudice.  Again I would worry about being written off for the job.
492;Depression is my entire life. Work shouldn't be my life.
493;It has no legal bearing on the hiring process
494;Not having a mental illness, I assume there is a stigma around the issue for people who haven't experienced it.
495;
496;I would discuss a mental health issue only at an interview that is trending towards an offer, mostly to review what mental health covered their insurance provides.
497;I would be worried that it would hinder my chances as a potential candidate
498;It's a market
499;"Work mostly in small teams: no-one would consider you and small teams could excuse it away as ""not a good personality fit"""
500;"Mental health issues don't seem to be treated like ""real"" issues"
501;I wont get the job
502;"Might allude to it under the guise of ""work-life balance"" or something, but the only valid reason to hire me is the quality of my brain so it would be extremely detrimental to call it into question"
503;
504;
505;I have been hospitalized twice at Hines Madden Hospital. This issue is a bridge too far to cross.  Been out of full-time work since let go Jan 2010. Trying to get back in in next two years. Working part-time installing systems. Was a sys admin.
506;
507;I may not bring up a mental health issue in an interview with a potential employer, because I would be afraid that it might influence their decision about whether or not to hire me. They might view me as unstable or unqualified to properly do my job.
508;I actually don't think it's any of their business.
509;Same as physical. 
510;I definitely think the employer might worry about my ability to perform the job.
512;
513;See above
514;Not unless I knew what their track record was with mental illness, I would have to know I could trust them and that they wouldn't judge me negatively
515;Getting through interview would be hard enough, let alone risk negative response
516;Same reason mostly. Though probably depend on particular issue and how it may affect the work life
517;I would bring it up because I think it's not right to hide it, even for yourself, you could have an increased stress from trying to hide the disorder which could make your disorder even worse than it should be. Also if a company isn't willing to hire you because you suffer from a mental disorder, it's probably a company you wouldn't want to work for.
518;Same as physical -- if I think I would need special treatment or accommodation to do the work, I would bring it up as soon as it's relevant.  
519;I think they would not hire me if they knew I had depression issues.
520;I'd bet they wouldn't hire me
521;Mental health issues can and often do effect our ability to perform.
522;"They would immediately give the ""short interview"" and show you the door. That's career suicide. What if someone said ""I'm manic depressive, sometimes I can't get shit done because I'm too depressed. Other times I'll get more done in 4 hours than your entire team will in a week."" Most companies are going to think you're nuts."
523;Because as a techie your main  tool is your brain. And i would fear that people would see my mental health issue as a maldunction and value my abilities less
524;It doesn't matter at that point in my opinion. Ultimately I feel, although third parties can greatly help you with mental health troubles, it is ultimately yourself and your perspective on things that has to change and thus it's a very personal battle.
525;Now you've got me...! I think not previously knowing said interviewers would dissuade me, not knowing how it would affect my outcome, although I would know that I should be addressing it with them.
526;Would go against me
527;Not everybody understands mental health. Would worry about being perceived negatively. 
528;Too personal
529;I think it is generally important to bring it up, if I felt that the employer was open to hearing about it
530;
531;Feeling vulnerable, not wanting to let them down
532;Embarrassing / personal issue
533;
534;Again, depends on whether I thought it would impact performance, and would require accommodation.
535;I don't feel comfortable talking about mental health issues at all, even less with a stranger interviewing me.
536;It would be a weird thing to volunteer in an interview. I wouldn't want a candidate to tell me about any issue, because it puts me in a bad spot if I decline to offer them a job.
537;It's not pertinent to the position..
538;I don't know them, and they don't know me
539;
540;I want to make sure both parties can make an informed decision - leaving something important unsaid would foster frustrated expectations
541;Reduce chance for employment
542;With the best will in the world an employer will not see it as a positive even if it's not direct discrimination.
543;To be honest and up front about things that may affect my work performance, unless I was too embarrassed to talk about it. 
544;Again, it depends on if it would strongly affect my ability to work
545;This is quiet personal
547;
548;
549;Same as above, and there are additional implications about mental health and overall group dynamics.
550;never have done it before
551;
552;I assume it would weigh against me getting the job
553;
554;There's a stigma, so I'd probably leave it out if I could.
555;Stigma
556;I wouldn't think it relevant to the interview.
557;This again would negatively reflect on your potential, especially more so that a physical problem.
558;No because I don't want them to think I can't perform my job or that they can't count on me in crunch time.
559;I would not bring up a mental health issue, but if they brought it up, I would talk about it.
560;Same reason as a physical health issue.
561;"Mental health issues that impact my job are necessary for them to know for them to make an informed decision. This would probably change to ""no"" if I NEEDED the job as opposed to just wanted the job."
562;Only if it would directly affect my work, otherwise it's not their business.
564;It hasn't come up for me.
565;xxx
566;They won't employ me
567;Same reason. Could cause trouble to keep silent.
568;
569;Even though it's unjustified there is a stigma attached to mental health issues that is just not there for physical limitations.
570;I doubt they'd hire me.
571;
572;Depends on the issue.
573;I would want to know the stance of the potential employer towards mental health issues. There is still a stigma surrounding mental health issues, and while it needs to dissipate, I would want to know the context in which I would bring it up and more details around the scenario.
574;you never know who is interviewing you
575;
576;"There is too much of a negative stigma associated with ""not being able to handle the stress"" of work.  Especially if you are in a startup."
577;Depends.
578;I'm a private person in general, I may not bring it up.
579;"I am a gifted adult and most employers aren't familiar with my differences. People with high IQ can appear intimidating or aloof; mental health issues might be the nail in the coffin"
580;Because I want the job.
581;Potential negative impact on job.
582;Same as above
583;"Strongly advised by mentors not to discuss it; issues with anxiety are often perceived as a weakness/hindrance/liability, even if the interviewer is considerate of mental health issues this can introduce a negative bias."
584;Having occasional depression myself, I'm well-versed in the potential negative (work-related) effects (e.g. trouble focusing, potential for oversleeping, etc.). If I knew the employer was looking for an employee upon whom a lot of responsibilities would be entrusted, I would probably not discuss my depression.
585;
