,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,Which of the following best describes your work position?,Do you work remotely?
10,0,26-100,1.0,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Yes,Yes,"No, I don't think it would",Maybe,Very open,"Yes, I observed",I don't know,Yes,Yes,Yes,1,Sometimes,Often,28.0,male,Front-end Developer,Never
11,0,100-500,0.0,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,Yes,Yes,Yes,Yes,1,Never,Rarely,34.0,male,Executive Leadership,Sometimes
12,0,100-500,1.0,Yes,I am not sure,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,"Yes, they all did",None of them,No,No,"No, it has not","No, they do not",Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,30.0,female,Supervisor/Team Lead,Always
13,0,100-500,0.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,Maybe,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,No,Maybe,"Yes, I think they would",Not open at all,"Yes, I experienced",No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,44.0,male,DevOps/SysAdmin,Sometimes
14,0,100-500,1.0,Yes,Yes,No,I don't know,Yes,Very easy,No,No,Yes,Yes,No,No,1,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,No,"No, it has not","No, they do not",Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,35.0,male,Designer,Always
15,0,100-500,1.0,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Neutral,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,52.0,male,Other,Sometimes
16,0,26-100,1.0,Not eligible for coverage / N/A,No,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,No,1,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,No,"Yes, it has","No, I don't think they would",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,32.0,female,Front-end Developer,Always
17,0,500-1000,1.0,No,No,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,No,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,34.0,male,Back-end Developer,Never
18,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,"Yes, it has","Yes, they do",Somewhat not open,"Yes, I observed",I don't know,Yes,Yes,Yes,1,Often,Often,25.0,female,One-person shop,Always
19,0,100-500,0.0,I don't know,No,No,No,I don't know,I don't know,Yes,No,No,No,Yes,No,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,31.0,male,Back-end Developer,Sometimes
20,0,6-25,1.0,No,unknown,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,26.0,male,Back-end Developer,Sometimes
21,0,More than 1000,0.0,Yes,No,Yes,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,35.0,male,Other,Never
22,0,26-100,1.0,Yes,Yes,No,No,I don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Neutral,No,I don't know,Maybe,No,No,0,Not applicable to me,Not applicable to me,25.0,male,Back-end Developer,Sometimes
23,0,1-5,1.0,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Yes,Yes,No,Yes,1,Sometimes,Often,33.0,male,Back-end Developer,Sometimes
24,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),unknown,No,No,No,No,0,Not applicable to me,Not applicable to me,38.0,male,Supervisor/Team Lead,Sometimes
25,0,100-500,0.0,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Maybe,Maybe,"No, I don't think they would",Very open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,42.0,male,Supervisor/Team Lead,Never
26,0,26-100,0.0,No,No,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,No,1,"No, none did",I was aware of some,Some did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,Some did,None of them,No,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,I don't know,Yes,Yes,Yes,1,Rarely,Often,27.0,male,Supervisor/Team Lead,Sometimes
27,0,100-500,1.0,I don't know,No,No,No,I don't know,Somewhat difficult,No,No,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,No,No,Maybe,No,1,Sometimes,Often,35.0,male,Back-end Developer,Never
28,0,500-1000,0.0,I don't know,No,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,Yes,1,I don't know,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Maybe,No,"Yes, I think it would","No, I don't think they would",Neutral,"Yes, I observed",Yes,Yes,Maybe,No,1,Sometimes,Often,34.0,female,Other,Never
29,0,6-25,1.0,Not eligible for coverage / N/A,unknown,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,Often,32.0,non-binary,Other,Never
30,0,100-500,1.0,Not eligible for coverage / N/A,Yes,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,No,No,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Maybe,"Yes, I think it would",Maybe,Very open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Often,32.0,non-binary,Back-end Developer,Never
31,0,100-500,1.0,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,Some did,"Yes, I was aware of all of them",None did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",I don't know,"Yes, they all did",None of them,No,No,"No, I don't think it would","No, they do not",Very open,No,No,Yes,Yes,Yes,1,Often,Sometimes,30.0,male,Supervisor/Team Lead,Sometimes
32,0,More than 1000,1.0,I don't know,I am not sure,No,No,I don't know,Very easy,Maybe,No,No,Maybe,No,No,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Maybe,Maybe,Somewhat open,No,I don't know,Yes,Maybe,No,0,Rarely,Often,31.0,male,One-person shop,Never
33,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,"No, I only became aware later",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,"Yes, at all of my previous employers",I don't know,None of them,No,Maybe,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,37.0,male,Back-end Developer,Sometimes
34,0,26-100,1.0,Yes,I am not sure,No,I don't know,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Somewhat not open,Maybe/Not sure,No,Yes,Yes,No,0,Not applicable to me,Sometimes,36.0,male,Supervisor/Team Lead,Sometimes
35,0,100-500,1.0,No,No,No,Yes,I don't know,Somewhat easy,Maybe,No,No,No,I don't know,Yes,1,"No, none did",N/A (not currently aware),None did,None did,Sometimes,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,33.0,male,Executive Leadership,Never
36,0,26-100,1.0,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Yes,Maybe,Yes,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Yes,Maybe,Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,44.0,male,Back-end Developer,Always
37,0,100-500,1.0,No,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,No,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Maybe,Maybe,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",No,No,Maybe,No,0,Never,Sometimes,29.0,male,Front-end Developer,Never
38,0,100-500,1.0,No,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,29.0,male,Back-end Developer,Sometimes
39,0,More than 1000,1.0,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,Yes,1,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,Some of them,Yes,Yes,Maybe,Maybe,Very open,"Yes, I observed",I don't know,No,No,No,0,Not applicable to me,Not applicable to me,44.0,male,Support,Always
40,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"Yes, they all did","No, I only became aware later",None did,Some did,"Yes, always",Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,None did,Some of them,Maybe,No,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,No,0,Rarely,Sometimes,34.0,male,One-person shop,Sometimes
41,0,100-500,1.0,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,No,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,I don't know,Yes,Yes,No,1,Rarely,Sometimes,40.0,male,Other,Always
42,0,More than 1000,1.0,Yes,I am not sure,No,No,Yes,Somewhat difficult,Yes,Maybe,Yes,Yes,No,No,1,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",None did,None of them,Maybe,No,Maybe,Maybe,Very open,Maybe/Not sure,Yes,Yes,Yes,No,1,Often,Often,46.0,non-binary,Supervisor/Team Lead,Never
43,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,No,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,No,1,Sometimes,Often,28.0,male,DevOps/SysAdmin,Sometimes
44,0,More than 1000,0.0,No,I am not sure,No,No,No,Somewhat difficult,Maybe,No,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,41.0,male,Back-end Developer,Never
45,0,6-25,1.0,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,33.0,male,Supervisor/Team Lead,Sometimes
46,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,I don't know,Some of them,Yes,Maybe,"No, I don't think it would",Maybe,Very open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,Often,32.0,male,Other,Sometimes
47,0,6-25,1.0,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat not open,No,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,45.0,male,DevOps/SysAdmin,Sometimes
48,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",I don't know,I don't know,Some of them,Yes,Yes,"No, I don't think it would",Maybe,Neutral,Maybe/Not sure,Yes,Yes,Maybe,Yes,1,Not applicable to me,Not applicable to me,43.0,male,Other,Sometimes
49,0,6-25,1.0,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Maybe,I don't know,No,1,Some did,"Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Maybe,Maybe,Somewhat open,No,No,Maybe,Yes,Yes,1,Often,Often,37.0,female,Supervisor/Team Lead,Always
50,0,26-100,1.0,No,unknown,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,"Yes, it has",Maybe,Neutral,Maybe/Not sure,I don't know,Yes,Yes,Yes,1,Sometimes,Often,37.0,male,Executive Leadership,Never
51,0,6-25,1.0,Yes,Yes,No,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,I don't know,No,1,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Yes,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27.0,male,Front-end Developer,Sometimes
52,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Yes,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),unknown,No,No,No,No,0,Not applicable to me,Not applicable to me,31.0,male,Supervisor/Team Lead,Sometimes
53,0,More than 1000,1.0,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Yes,Yes,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,Maybe,"No, I don't think they would",Neutral,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Never,Sometimes,36.0,male,Supervisor/Team Lead,Sometimes
54,0,500-1000,0.0,Yes,Yes,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,"Yes, I think it would",Maybe,Neutral,No,No,Maybe,Maybe,Yes,1,Rarely,Often,34.0,male,DevOps/SysAdmin,Always
